,movie_cnt,movie_title,age,reviews,sent_number
574,264번,Ant-Man,8,I personally enjoyed this movie  It was funny the plot was decent and thankfully for me and probably others there wasnt much in terms of sexual innuendos  There was some kissing and a comment related to this topic but overall it wasnt as bad as Iron Man,3
575,264번,Ant-Man,8,Clever funny cool Marvel movie that has lots of scifi action,1
576,264번,Ant-Man,8,A vary good movie  It is a superhero movie so theres a lot of violence but not intense and scary violence like the Batman  It shows a grate message of a past criminal in for robbery rehabilitating in the outside world well also being a superhero,3
577,264번,Ant-Man,8,Antman is funny and a little violent  The violence is pretty standard for comic book violence and It never gets to gory  Some Language,3
578,264번,Ant-Man,8,I watched Ant Man in theatres in Switzerland with my brother and my mom  Unlike most reviews here mines going to be unique yet hysterical  My mom kept on making snippy comments mainly she said the most dumbest things ever  When the main character Scott wanted to see his daughter his wife took him aside to explain all of the pay that men were pressured to do  The theatre was quiet as a mouse and my mom said out loud unrighteous btch  When Scott finally finds the AntMan suit and tries to put the helmet on my mom immediately said that was like from the movie Mask  Using the powers suit to shrink down to a small size Scott tries to escape the CGI effects of a tsunami in the bathtub  My mom immediately said that was in 3D  We normally watched the movie in 2D  With moms comments aside the movie is a must watch  There is not a lot of violence as in the other Marvel movies  The sequel to it is not bad  Recommend it to teens and adults 15,13
579,264번,Ant-Man,8,I might be a bit biased considering this was the first PG13 and the first Marvel movie Ive ever watched but I loved this movie It has humor that was totally on my level  I wouldnt say it has too much swearing although there is an abundant use of language throughout  It doesnt have any gory fight scenes besides a short gunfight near the end  My sibling says that it is the mildest Marvel movie in the entire franchise  If youre looking to introduce your kid to Marvel movies I believe this would be the movie to start with,6
580,264번,Ant-Man,8,Scott Lang an engineer who committed a crime he felt that was justified is sent to prison  When he gets out he wants to be on the straight and narrow for his daughter but having a record doesnt help  And his exwife refuses to let him see his daughter because he cant find a regular job  Eventually his friend tells him of a job and he decides to take it  Scott has to break into a vault and when he does all he finds is a weird suit  After he takes it he puts it on and discovers it shrinks him  Scott tries to return it and when he does hes arrested a man claiming to be his attorney goes to see him and he tells him that the suit was an opportunity which he should have taken  Later some ants bring him the suit and he puts it on and gets out of jail  He then goes to the man who says hes Hank Pym the man who created the suit  He used it before and called himself AntMan  He gave it up when he found out people were planning to use his technology for things he doesnt think is right so he made sure no one could replicate it and put it away  But he now needs Scott to be AntMan because it seems like his protg Darren Cross who forced him out of his company is close to replicating it  So he wants Scott to get into the lab and take it  Scott is uncertain if he can do it and Pyms daughter who thinks she should be the one to go agrees  But Pym thinks Scott is the one  So they train him while trying to make sure Cross doesnt suspect anything,16
581,264번,Ant-Man,8,What I enjoyed about the movie is that it has a lot of action and fighting  I think characters are pretty cool  The story was nice  And I think its the best movie EVER,4
587,264번,Ant-Man,7,Ant man is a great marvel movie for younger and older kids  There isnt to much violnce and you dont see anyone die but one person does get shot but lives  overall ant man was a really good movie for most ages and you should watch it,4
588,264번,Ant-Man,7,Not even appropriate for adults  A man brags about touching a womans private part in one scene to name just one which I dont even think is PG13 content DO NOT WATCH,3
589,264번,Ant-Man,7,Ant man is just a great movie and is quite family friendly,1
590,264번,Ant-Man,7,Family friendly unless you consider people getting punched by a practically invisible shrunken ant man violent or bad  This movie is so good and I recommend it  It is no worse than guardians of the galaxy and it is similar to oceans 11  It does have bad words but I think that is the worst part about this movie  I watched it once one night and it was so good I watched the sequel and it a 2nd time the next morning,5
591,264번,Ant-Man,7,I think its a really good movie for ages eight and up its really funny its definitely a movie Ill watch again,1
592,264번,Ant-Man,7,AntMan is a great film  Its a pretty different Marvel film with a man who can turn into the size of an ant  It has many cool special effects especially when Scott turns small and has enough charm and action to appeal to many Marvel fans  The film also has a good and funny cast like Paul Rudd Michael Pea and Michael Douglas,4
593,264번,Ant-Man,7,A funny one  With strong swearing and violent,2
594,264번,Ant-Man,7,It is ok but it is not at the same time for 8or7,1
725,276번,Aquaman,8,I did not like it that much  I have to mention that there is a kissing scene I have watch the movie when it was released but I remember this scene lasted like a minute of two,2
726,276번,Aquaman,8,Aquaman2018,1
727,276번,Aquaman,8,Ugh I hated this movie  Just bad,2
728,276번,Aquaman,8,it is only slightly violent and it has very harmless swear words,1
729,276번,Aquaman,8,I found this movie quite good  There was quite a bit of violence especially when aqua man stabs the guy at the start  Maybe watch the movie with your kids because it is very good and has good message s and story line,3
730,276번,Aquaman,8,A Must watch for everyone   It becomes clear that Jason Momoa is the perfect actor for Aquaman  Hes absolutely hilarious and I especially noticed the way that how the actor adapts to the various scenes environment  Really enjoyed the movie  Suitable for all ages,5
