,age,reviews
0,8,"-I personally enjoyed this movie. It was funny, the plot was decent, and, thankfully for me and probably others, there wasn't much in terms of sexual innuendos. There was some kissing and a comment related to this topic, but overall, it wasn't as bad as Iron Man. "
1,8,"-Clever, funny, cool Marvel movie that has lots of sci-fi action."
2,8,-A vary good movie. It is a superhero movie so there’s a lot of violence but not intense and scary violence like the Batman. It shows a grate message of a past criminal (in for robbery) rehabilitating in the outside world well also being a superhero.
3,8,-Ant-man is funny and a little violent. The violence is pretty standard for comic book violence and It never gets to gory. Some Language
4,8,"-I watched Ant Man in theatres in Switzerland with my brother and my mom. Unlike most reviews here, mine's going to be unique yet hysterical. My mom kept on making snippy comments, mainly she said the most dumbest things ever. When the main character (Scott) wanted to see his daughter, his wife took him aside to explain all of the pay that men were pressured to do. The theatre was quiet as a mouse and my mom said out loud ""unrighteous b*tch!!!"" 😂 When Scott finally finds the Ant-Man suit and tries to put the helmet on, my mom immediately said that was like from the movie ""Mask""! 🤣 Using the power's suit to shrink down to a small size, Scott tries to escape the CGI effects of a tsunami in the bathtub. My mom immediately said that was in 3D! 😂 We normally watched the movie in 2D! 😅 With mom's comments aside, the movie is a must watch. There is not a lot of violence as in the other Marvel movies. The sequel to it is not bad. Recommend it to teens and adults (+15)"
5,8,"-I might be a bit biased, considering this was the first PG-13 and the first Marvel movie I've ever watched, but I loved this movie! It has humor that was totally on my level. I wouldn't say it has too much swearing, although there is an abundant use of language throughout. It doesn't have any gory fight scenes besides a short gunfight near the end. My sibling says that it is the ""mildest"" Marvel movie in the entire franchise. If you're looking to introduce your kid to Marvel movies, I believe this would be the movie to start with!"
6,8,"-Scott Lang, an engineer who committed a crime he felt that was justified, is sent to prison. When he gets out he wants to be on the straight and narrow for his daughter but having a record doesn't help. And his ex-wife refuses to let him see his daughter because he can't find a regular job. Eventually his friend tells him of a job and he decides to take it. Scott has to break into a vault and when he does all he finds is a weird suit. After he takes it, he puts it on and discovers it shrinks him. Scott tries to return it and when he does he's arrested, a man claiming to be his attorney goes to see him and he tells him that the suit was an opportunity which he should have taken. Later some ants bring him the suit and he puts it on and gets out of jail. He then goes to the man who says he's Hank Pym the man who created the suit. He used it before and called himself Ant-Man. He gave it up when he found out people were planning to use his technology for things he doesn't think is right so he made sure no one could replicate it and put it away. But he now needs Scott to be Ant-Man because it seems like his protégé, Darren Cross, who forced him out of his company, is close to replicating it. So he wants Scott to get into the lab and take it. Scott is uncertain if he can do it and Pym's daughter who thinks she should be the one to go agrees. But Pym thinks Scott is the one. So they train him while trying to make sure Cross doesn't suspect anything."
7,8,-What I enjoyed about the movie is that it has a lot of action and fighting. I think characters are pretty cool. The story was nice. And I think it's the best movie EVER.
8,7,-Ant man is a great marvel movie for younger and older kids. There isnt to much violnce and you dont see anyone die but one person does get shot but lives. overall ant man was a really good movie for most ages and you should watch it!!
9,7,"-Not even appropriate for adults. A man brags about touching a woman's private part in one scene (to name just one), which I don't even think is PG-13 content! DO NOT WATCH!"
