,Title,Author,Year
0,Therapeutic implications of germline vulnerabilities in DNA repair for precision oncology,"
Shah, S.M., Demidova, E.V., Lesh, R.W., (...), Edelman, M.J., Arora, S.
",2022
1,CRISPR/Cas gene-editing technology and its advances in dentistry,"
Chavez-Granados, P.A., Manisekaran, R., Acosta-Torres, L.S., Garcia-Contreras, R.
",2022
2,Revolution or Evolution? Technical Requirements and Considerations towards 6G Mobile Communications,"
Alraih, S., Shayea, I., Behjati, M., (...), Abu-Samah, A., Nandi, D.
",2022
3,"Environmental and health effects of graphene-family nanomaterials: Potential release pathways, transformation, environmental fate and health risks","
Ding, X., Pu, Y., Tang, M., Zhang, T.
",2022
4,Nanoparticle immuno-fluorescent probes as a method for detection of viable E. coli O157:H7,"
Al-Awwal, N., Masjedi, M., El-Dweik, M., Anderson, S.H., Ansari, J.
",2022
5,Translating the Machine: Skills that Human Clinicians Must Develop in the Era of Artificial Intelligence,"
Aslam, T.M., Hoyle, D.C.
",2022
6,Advances in Allogeneic Cancer Cell Therapy and Future Perspectives on “Off-the-Shelf” T Cell Therapy Using iPSC Technology and Gene Editing,"
Furukawa, Y., Hamano, Y., Shirane, S., (...), Nakauchi, H., Ando, M.
",2022
7,"Application of terrestrial laser scanning (Tls) in the architecture, engineering and construction (aec) industry","
Wu, C., Yuan, Y., Tang, Y., Tian, B.
",2022
8,Diagnosis of Viral Diseases Using Deep Sequencing and Metagenomics Analyses,"
Raza, A., Wu, Q.
",2022
9,The Intelligent Phenotypic Plasticity Platform (IP3) for Precision Medicine-Based Injury Prevention in Sport,"
Kiefer, A.W., Armitano-Lago, C.N., Sathyan, A., (...), Cohen, K., Silva, P.L.
",2022
10,Cybersecurity in 5G and IoT Networks,"
Rajasekar, V., Premalatha, J., Saracevic, M.
",2022
11,Workload Balancing in a Multi-Cloud Environment: Challenges and Research Directions,"
Rajeshwari, B.S., Dakshayini, M., Guruprasad, H.S.
",2022
12,Smart Cities New Paradigm Applications and Challenges,"
Embarak, O.
",2022
13,Exploring Immersive Technology in Education for Smart Cities,"
Gnanadurai, J.B., Thirumurugan, S., Vinothina, V.
",2022
14,Advancement of chimeric antigen receptor-natural killer cells targeting hepatocellular carcinoma,"
Dai, K., Wu, Y., She, S., Zhang, Q.
",2021
15,Ai‐enabled framework for fog computing driven E‐healthcare applications,"
Sodhro, A.H., Zahid, N.
",2021
16,Difference in the lipid nanoparticle technology employed in three approved siRNA (Patisiran) and mRNA (COVID-19 vaccine) drugs,"
Suzuki, Y., Ishihara, H.
",2021
